,Unnamed: 0,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ligand_efficiency.bei,ligand_efficiency.le,ligand_efficiency.lle,ligand_efficiency.sei,ligand_efficiency
1993,274,,38138,[],CHEMBL758597,Optimal dose per injection in mg/kg required to inhibit growth of P388 leukemia cells in mice,F,,,BAO_0000179,BAO_0000218,organism-based format,Cl.O=C1c2c(NCCNCCO)cccc2-c2nn(CCNCCO)c3cccc1c23,,,CHEMBL1123657,J. Med. Chem.,1987,CHEMBL545155,,CHEMBL1193703,,False,,35158,=,1,True,=,,DOSE,mg.kg-1,,12.5,CHEMBL389,Mus musculus,P388,10090.0,,,Dose,mg kg-1,UO_0000308,,12.5,,,,,
697,441,,34305,[],CHEMBL669796,In vitro inhibition of human DNA topoisomerase I activity.,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccc(/N=C2/C(=O)c3cncnc3C(O)=C2Cl)c(OC)c1,,,CHEMBL1147454,Bioorg. Med. Chem. Lett.,2004,CHEMBL114758,,CHEMBL114758,,False,http://qudt.org/vocab/unit#Percent,215719,=,1,True,=,,Inhibition,%,,35.0,CHEMBL1781,Homo sapiens,DNA topoisomerase I,9606.0,,,Inhibition,%,UO_0000187,,35.0,,,,,
382,681,,35545,[],CHEMBL664097,In vitro antifungal activity against Cryptococcus neoformans,F,,,BAO_0000181,BAO_0000218,organism-based format,CCCCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6ccnc6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1122688,J. Med. Chem.,1984,CHEMBL433536,,CHEMBL433536,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,338507,>,1,False,>,,Inhibition,ug ml-1,,100.0,CHEMBL365,Cryptococcus neoformans,Filobasidiella neoformans,5207.0,,,Inhibition,ug ml-1,UO_0000274,,100.0,,,,,
2000,434,,38298,[],CHEMBL664095,In vitro antifungal activity against Cryptococcus neoformans CY1059 was determined at pH 7 for inoculum size of 1*10e4 cfu/ml by broth dilution method,F,,,BAO_0000191,BAO_0000218,organism-based format,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,CHEMBL1151576,Bioorg. Med. Chem. Lett.,1994,CHEMBL64391,ITRACONAZOLE,CHEMBL64391,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,320477,=,1,False,=,,IC80,ug ml-1,,0.046,CHEMBL365,Cryptococcus neoformans,Filobasidiella neoformans,5207.0,,,IC80,ug ml-1,UO_0000274,,0.046,,,,,
3020,133,,37997,[],CHEMBL847186,"In vivo activity against vaginal candidoses in rats, measured as the ratio of animals cured/animals infected (C/I) at dose 2.5 mg/kg; C/I = 13/15",F,,,BAO_0000179,BAO_0000218,organism-based format,CCn1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL369813,,CHEMBL369813,,False,,338516,=,1,False,=,,C/I ratio,,,13.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,13.0,,,,,
2516,713,,38577,[],CHEMBL844603,Ratio of the inhibitory concentrations against rat liver DHFR and Toxoplasma gondii DHFR.,B,,,BAO_0000179,BAO_0000019,assay format,C#CCN(Cc1cnc2nc(N)nc(N)c2c1C)c1cc(OC)c(OC)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL49454,,CHEMBL49454,,False,,84826,=,1,False,=,,Ratio,,,1.5,CHEMBL2097172,Toxoplasma gondii,Dihydrofolate reductase; T. gondii vs rat,5811.0,,,Ratio,,,,1.5,,,,,
2206,80,,33944,[],CHEMBL759516,The compound was evaluated for antagonist activity against P2X purinoceptor 1 (P2X1) like receptor from rat vas deferens,F,,,BAO_0000190,BAO_0000019,assay format,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Cl)n3)cc2S(=O)(=O)[O-])c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],,,CHEMBL1135773,J. Med. Chem.,2002,CHEMBL133572,,CHEMBL1205686,5.8,False,http://www.openphacts.org/units/Nanomolar,252112,=,1,True,=,,IC50,nM,,1600.0,CHEMBL2530,Rattus norvegicus,P2X purinoceptor 1,10116.0,,,IC50,uM,UO_0000065,,1.6,,,,,
1628,695,,38559,[],CHEMBL708577,Cytotoxic activity against LOXIMVI Melanoma cell line,F,,,BAO_0000189,BAO_0000219,cell-based format,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,,,CHEMBL1128680,J. Med. Chem.,1995,CHEMBL279983,,CHEMBL279983,,False,http://www.openphacts.org/units/Nanomolar,84812,=,1,True,=,,GI50,nM,,3350.0,CHEMBL614096,Homo sapiens,LOX IMVI,9606.0,,,GI50,M,UO_0000065,,3.35e-06,,,,,
2391,864,,37728,[],CHEMBL876771,Ability to inhibit Tubulin polymerization in Bovine brain,F,,,BAO_0000190,BAO_0000221,tissue-based format,COc1ccc(NCc2cc(OC)c(OC)c(OC)c2)cc1,,,CHEMBL1125188,J. Med. Chem.,1991,CHEMBL86960,,CHEMBL86960,4.64,False,http://www.openphacts.org/units/Nanomolar,157330,=,1,True,=,,IC50,nM,,23000.0,CHEMBL2094134,Bos taurus,Tubulin,9913.0,,,IC50,uM,UO_0000065,,23.0,,,,,
1291,184,,33048,[],CHEMBL663720,In vitro inhibition of human DNA topoisomerase II activity.,B,,,BAO_0000201,BAO_0000224,protein format,O=C1C(Nc2ccc(Br)cc2)=C(Cl)C(=O)c2ncncc21,,,CHEMBL1147454,Bioorg. Med. Chem. Lett.,2004,CHEMBL115665,,CHEMBL115665,,False,http://qudt.org/vocab/unit#Percent,215713,=,1,True,=,,Inhibition,%,,94.0,CHEMBL2094255,Homo sapiens,DNA topoisomerase II,9606.0,,,Inhibition,%,UO_0000187,,94.0,,,,,
2085,466,,40330,[],CHEMBL823436,"In vivo activity against microsporosis guinea pig, measured as the ratio of animals cured/animals infected (C/I) at dose 10 mg/kg; C/I = 2/6",F,,,BAO_0000179,BAO_0000218,organism-based format,Cc1nn(CC(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5cncn5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL355397,,CHEMBL355397,,False,,338531,=,1,False,=,,C/I ratio,,,2.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,2.0,,,,,
2086,467,,40331,[],CHEMBL843580,"In vivo activity against microsporosis guinea pig, measured as the ratio of animals cured/animals infected (C/I) at dose 2.5 mg/kg; C/I = 0/8",F,,,BAO_0000179,BAO_0000218,organism-based format,Cc1nn(CC(C)C)c(=O)n1-c1ccc(N2CCN(c3ccc(OC[C@@H]4COC(Cn5cncn5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1,,,CHEMBL1122688,J. Med. Chem.,1984,CHEMBL355397,,CHEMBL355397,,False,,338531,=,1,False,=,,C/I ratio,,,0.0,CHEMBL3879801,,NON-PROTEIN TARGET,,,,C/I ratio,,,,0.0,,,,,
1517,860,,37724,[],CHEMBL715108,Cytotoxic concentration required to inhibit 50% cell growth in MCF-7 breast carcinoma cell lines,F,,,BAO_0003036,BAO_0000219,cell-based format,COc1ccc(NCc2cc(OC)c(OC)c(OC)c2)cc1,Non standard unit for type,Units for this activity type are unusual and may be incorrect (or the standard_type may be incorrect),CHEMBL1125188,J. Med. Chem.,1991,CHEMBL86960,,CHEMBL86960,,False,http://www.openphacts.org/units/Micromolar,157330,=,1,False,=,,ED50,uM,,0.0024,CHEMBL387,Homo sapiens,MCF7,9606.0,,,ED50,uM,UO_0000064,,0.0024,,,,,
