,Unnamed: 0,cpd_str_alert_id,molecule_chembl_id,alert.alert_id,alert.alert_name,alert.alert_set.priority,alert.alert_set.set_name,alert.smarts
18006,6,49322628,CHEMBL336173,7,R7 Peroxides,8,Glaxo,OO
1220,220,49305842,CHEMBL304064,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
15186,186,49319808,CHEMBL4473013,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
10234,234,49314856,CHEMBL2288057,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16680,680,49321302,CHEMBL4168681,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
18359,359,49322981,CHEMBL375378,7,R7 Peroxides,8,Glaxo,OO
12903,903,49317525,CHEMBL3928466,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
14676,676,49319298,CHEMBL94105,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
8674,674,49313296,CHEMBL1988558,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10726,726,49315348,CHEMBL2419953,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
344,344,49304966,CHEMBL25384,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
6577,577,49311199,CHEMBL1398705,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17060,60,49321682,CHEMBL2111562,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
9453,453,49314075,CHEMBL2164159,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
1253,253,49305875,CHEMBL74297,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17217,217,49321839,CHEMBL3230009,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
18416,416,49323038,CHEMBL388386,7,R7 Peroxides,8,Glaxo,OO
18726,726,49323348,CHEMBL454552,7,R7 Peroxides,8,Glaxo,OO
4492,492,49309114,CHEMBL482340,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
5080,80,49309702,CHEMBL584370,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4444,444,49309066,CHEMBL465730,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
2616,616,49307238,CHEMBL348187,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
10435,435,49315057,CHEMBL2338757,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3006,6,49307628,CHEMBL165625,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17426,426,49322048,CHEMBL274670,7,R7 Peroxides,8,Glaxo,OO
3181,181,49307803,CHEMBL174139,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8154,154,49312776,CHEMBL1938417,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
526,526,49305148,CHEMBL286114,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
12606,606,49317228,CHEMBL3754870,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
11626,626,49316248,CHEMBL3277187,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
13204,204,49317826,CHEMBL4076703,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
8652,652,49313274,CHEMBL1987489,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4621,621,49309243,CHEMBL523417,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
17306,306,49321928,CHEMBL3247757,6,R6 Acid anhydrides,8,Glaxo,C(=O)OC(=O)
12484,484,49317106,CHEMBL3685292,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
3643,643,49308265,CHEMBL224909,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
213,213,49304835,CHEMBL16673,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
5778,778,49310400,CHEMBL1187937,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
2484,484,49307106,CHEMBL144677,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
5830,830,49310452,CHEMBL1190587,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
14028,28,49318650,CHEMBL4291555,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
4988,988,49309610,CHEMBL559698,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
14870,870,49319492,CHEMBL169249,2,R2 Acid halides,8,Glaxo,"[S,C](=[O,S])[F,Br,Cl,I]"
7819,819,49312441,CHEMBL1813854,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
6570,570,49311192,CHEMBL1394829,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
16674,674,49321296,CHEMBL4102541,5,R5 Sulphonates,8,Glaxo,"COS(=O)(=O)[C,c]"
10909,909,49315531,CHEMBL3121349,1,R1 Reactive alkyl halides,8,Glaxo,"[Br,Cl,I][CX4;CH,CH2]"
