,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,578269,[],CHEMBL698856,Inhibition of Interleukin-1 receptor-associated kinase-4,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,,,CHEMBL1145138,J. Med. Chem.,2003.0,,CHEMBL142425,,CHEMBL142425,,False,http://www.openphacts.org/units/Nanomolar,277081,>,1,True,>,,IC50,nM,,30000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,30.0
1,,1663207,[],CHEMBL863888,Inhibitory activity against IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,,,CHEMBL1148543,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL197603,,CHEMBL197603,,False,http://www.openphacts.org/units/Nanomolar,415316,>,1,True,>,,IC50,nM,,25000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,25.0
2,,1723345,[],CHEMBL861307,Inhibition of IRAK4,B,,,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(NC(C)=O)cc(N)c1C#N,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL208637,,CHEMBL208637,,False,http://www.openphacts.org/units/Nanomolar,492955,>,1,True,>,,Ki,nM,,9900.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Ki,nM,UO_0000065,,9900.0
3,,1723614,[],CHEMBL861307,Inhibition of IRAK4,B,,,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL210928,,CHEMBL210928,,False,http://www.openphacts.org/units/Nanomolar,493010,>,1,True,>,,Ki,nM,,9900.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Ki,nM,UO_0000065,,9900.0
4,,1723615,[],CHEMBL861307,Inhibition of IRAK4,B,,,BAO_0000192,BAO_0000357,single protein format,CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL210032,,CHEMBL210032,,False,http://www.openphacts.org/units/Nanomolar,493002,>,1,True,>,,Ki,nM,,9900.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Ki,nM,UO_0000065,,9900.0
5,,1723616,[],CHEMBL861307,Inhibition of IRAK4,B,,,BAO_0000192,BAO_0000357,single protein format,COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL378627,,CHEMBL378627,,False,http://www.openphacts.org/units/Nanomolar,492990,>,1,True,>,,Ki,nM,,9900.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Ki,nM,UO_0000065,,9900.0
6,,1723617,[],CHEMBL861307,Inhibition of IRAK4,B,,,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL210963,,CHEMBL210963,,False,http://www.openphacts.org/units/Nanomolar,492973,>,1,True,>,,Ki,nM,,9900.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Ki,nM,UO_0000065,,9900.0
7,,1723618,[],CHEMBL861307,Inhibition of IRAK4,B,,,BAO_0000192,BAO_0000357,single protein format,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,,,CHEMBL1148638,J. Med. Chem.,2006.0,,CHEMBL210618,,CHEMBL210618,,False,http://www.openphacts.org/units/Nanomolar,492969,>,1,True,>,,Ki,nM,,9900.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Ki,nM,UO_0000065,,9900.0
8,,1724376,[],CHEMBL870864,Inhibition of IRAK4,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1nc2ccccc2[nH]1)c1cccc([N+](=O)[O-])c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,"{'bei': '19.12', 'le': '0.35', 'lle': '2.68', 'sei': '5.35'}",CHEMBL210658,,CHEMBL210658,5.40,False,http://www.openphacts.org/units/Nanomolar,477133,=,1,True,=,,IC50,nM,,4000.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,IC50,uM,UO_0000065,,4.0
9,,1724377,[],CHEMBL870863,Inhibition of IRAK4 at 30 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=[N+]([O-])c1cccc(CNc2nc3ccccc3[nH]2)c1,,,CHEMBL1147720,Bioorg. Med. Chem. Lett.,2006.0,,CHEMBL209668,,CHEMBL209668,,False,http://qudt.org/vocab/unit#Percent,477134,=,1,True,=,,Inhibition,%,,8.0,CHEMBL3778,Homo sapiens,Interleukin-1 receptor-associated kinase 4,9606,,,Inhibition,%,UO_0000187,,8.0
